App_ID,Title,Installs,Rating,Total_Reviews,Mechanics,Pros,Cons
com.geckorush.escape,Gecko Rush,,4.6761904,3088,"level progression, color matching, tap and drag, avoid obstacles, timing, upgrades","smooth controls, challenging, good graphics, good physics, relaxing, offline play","bugs and glitches, battery drain, pay to win, repetitive, too many ads, bad controls"
rush.arena.td,Rush Arena: PvP Tower Defense,,4.048035,19144,"upgrades, level progression, timing, avoid obstacles, color matching, tap and drag","challenging, offline play","bugs and glitches, repetitive, bad controls"
com.flightaware.android.liveFlightTracker,FlightAware Flight Tracker,,3.75,45216,"upgrades, timing, avoid obstacles, color matching, level progression, tap and drag, endless runner","smooth controls, challenging, good graphics, good physics, relaxing, offline play","bugs and glitches, pay to win, repetitive, too many ads, bad controls"
com.panosDrak.FlightSimFree,Flight Simulator Advanced,,3.54,12779,"upgrades, timing, avoid obstacles","challenging, good graphics, good physics, smooth controls, offline play","bugs and glitches, battery drain, pay to win, repetitive, bad controls"
com.ilyon.cuberush,Cube Rush Adventure,,4.5690475,27152,"upgrades, color matching, level progression, timing, tap and drag, avoid obstacles, endless runner","challenging, good physics, offline play","bugs and glitches, pay to win"
com.wordsmobile.planesimulator,Plane Simulator 3D,,3.614525,293786,"upgrades, color matching, timing, level progression, avoid obstacles, tap and drag, endless runner","challenging, good graphics, good physics, smooth controls, offline play","bugs and glitches, battery drain, pay to win, repetitive, too many ads, bad controls"
co.spiritbomb.skychamp,Sky Champ: Space Shooter,,4.5148697,78902,"timing, level progression, upgrades, avoid obstacles, color matching, tap and drag","challenging, good physics, offline play, good graphics","bugs and glitches, battery drain, pay to win, repetitive, too many ads, bad controls"
com.geofs.sr,GeoFS - Flight Simulator,,4.27,1737,"upgrades, avoid obstacles, timing","challenging, good physics, offline play, good graphics","bugs and glitches, repetitive, bad controls"
com.my.defense,Rush Royale: Tower Defense TD,,4.2565584,761868,"level progression, upgrades, timing, avoid obstacles, color matching","relaxing, challenging, good graphics, good physics, smooth controls, offline play","bugs and glitches, battery drain, repetitive, pay to win"
com.TB.FS2d,Flight Simulator 2d - sandbox,,4.7231407,17783,"upgrades, level progression, tap and drag, color matching, timing, avoid obstacles, endless runner",challenging,"repetitive, bugs and glitches, battery drain, bad controls"
com.absolutist.skyclash,Sky Clash: Lords of Clans 3D,,4.372709,82086,"upgrades, timing, color matching, level progression, avoid obstacles","challenging, offline play, good graphics",
tk.jewels.rush,Jewel Rush,,4.35,5591,"level progression, timing, upgrades, color matching, tap and drag, avoid obstacles, endless runner","relaxing, challenging, good graphics, good physics, smooth controls, offline play",
com.gameloft.android.ANMP.GloftDMHM,Minion Rush: Running Game,,4.4221897,10529588,"upgrades, endless runner, level progression, color matching, timing, tap and drag, avoid obstacles","smooth controls, challenging, good graphics, good physics, relaxing, offline play","bugs and glitches, battery drain, pay to win, repetitive, too many ads, bad controls"
com.i6.transportairplane,Flight Sim: Transport Plane 3D,,3.27,49078,"level progression, timing, upgrades, avoid obstacles, color matching","smooth controls, challenging, good graphics, good physics, relaxing, offline play","repetitive, bugs and glitches, bad controls"
com.i6.FlightSimulatorAirplane3D,Flight Simulator: Fly Plane 3D,,3.6490066,687698,"level progression, upgrades, avoid obstacles, timing","relaxing, challenging, good graphics, good physics, smooth controls, offline play","repetitive, bugs and glitches, bad controls"
com.flightview.flightview_free,FlightView: Flight Tracker,,1.469496,12003,"color matching, timing, avoid obstacles, upgrades, tap and drag, level progression, endless runner","relaxing, challenging, good graphics, good physics, smooth controls, offline play","bugs and glitches, battery drain, pay to win, repetitive, too many ads, bad controls"
com.ironhidegames.android.kingdomrush,Kingdom Rush Tower Defense TD,,4.715048,842070,"upgrades, level progression, timing, endless runner, color matching, avoid obstacles, tap and drag","challenging, good graphics, good physics, relaxing, offline play","bugs and glitches, battery drain, pay to win, repetitive, too many ads, bad controls"
pl.idreams.SkyForceReloaded2016,Sky Force Reloaded,,4.2970667,216780,"level progression, upgrades, timing, tap and drag, color matching, avoid obstacles","challenging, good physics, offline play, good graphics","bugs and glitches, battery drain, pay to win, repetitive, too many ads, bad controls"
com.fungames.flightpilot,Flight Pilot: 3D Simulator,,4.090799,2678539,"level progression, upgrades, timing, avoid obstacles, color matching, tap and drag","challenging, good physics, offline play","bugs and glitches, battery drain, pay to win, repetitive, too many ads, bad controls"
