App_ID,Title,Installs,Rating,1_star,2_star,3_star,4_star,5_star,Description
com.concretesoftware.idlegamearcade,My Arcade Empire - Idle Tycoon,,4.4540815,167,33,251,520,2318,"It’s a blast to the past in this gnarly arcade idle tap game! Build your own arcade empire to earn money and become the most bodacious arcade tycoon of the 80's!

Corey and the gang need your help to create a totally tubular arcade! Tap to build arcade games, gain customers, and unlock fun characters! Collect character cards and level them up with pizza and tokens! It’s fun, it’s easy, it’s a free idle arcade tycoon game! 

<b>GAME FEATURES</b>

<b>BUILD BUSINESSES AND MAKE MONEY</b>
Tap and build your arcade businesses and get rich quick with the quirky residents of Ridgemont! Explore the arcade games and surf the tasty waves in New Wave, rock and roll with Axe Caliber, or deliver some tasty pizza pie in Pizza Time! Tap and play games to become an arcade idle tycoon millionaire!

<b>FREE IDLE TAP ARCADE ADVENTURES</b>
Tap and build arcade machines into money-making idle arcades! Automate businesses so you can even make cash while you’re not playing. Upgrade characters and businesses by collecting cards to help you rake in more cash, pizza, and tokens! Become the best idle tycoon master!

<b>KEY FEATURES:</b>

• Make idle cash and money online or offline
• Collect fun character cards and automate arcade games
• Expand your arcade empire
• Casual, easy gameplay
• Beautiful 2D and 3D graphics
• Weekly events and prizes"
com.paurau.SlowMoRun,Slow Mo Run,,4.1785564,38382,15126,34716,45236,248368,"Fun running game where you drag the character to advance through obstacles

Run and drag the limbs to hit, kick and punch the enemies in this unique fast paced runner. Draw your custom fighting pose to attack, dodge bullets, shoot guns and engage in variety of fighting combat. This game features many fighting styles such as boxing, karate, judo, kung fu, jiu jitsu, spider fighting and much more. Channel your inner ninja and fight people in variety of ways such as one-on-one combats, running duels, parkour challenges, and even epic boss fights. The game mechanics allow you to choose your own fighting style and pose, giving you full control over your character's moves and attacks. In addition, this game features cool parkour levels as well as an engaging story."
com.ballzy.game,Pixel Rush - Obstacle Course,,4.289634,3644,988,2544,3089,25990,"<b>RACE FOR SURVIVAL </b>

Control a man made out of pixel blocks as he races through challenging obstacle courses in this fun and fast-paced running game. Watch out: as Pixel Boy bumps into obstacles, he’ll lose pixels! Run and jump over the hurdles to ensure his survival, and reach the finish line in one piece to score a PERFECT RUN! 🏃

Collect pixels and stars as you maneuver past all sorts of barriers to restore Pixel Boy’s lost body parts and level up. But be careful! If you knock into too many barriers, you’ll lose all your pixels and have to start again! 🙀☠️

<b>PERSONALIZE YOUR PIXELS </b>

Keep Pixel Boy running in style with plenty of customization options! 🤠 Unlock new character figures that you can accessorize with a wide variety of clothing and other great items. 🧢👕👖 In this 3D runner, your look is up to you! 😎

If you think fast while you run, you’ll even have the chance to grab new items on the obstacle course. Look out, though: an obstacle might just knock your socks—or any other item you’re wearing—right off! 😮

<b>GAME FEATURES:</b>

★ Easy controls but challenging and dynamic gameplay. Just tap and slide left or right as you dash down the track! Practice makes for a PERFECT RUN!

★ Leap off launchpads to soar over barriers on the obstacle course. Beware of the hurdles, sharp spikes, swinging knives and axes, spinning platforms, and other stumbling blocks that could smash your pixels to smithereens! Will Pixel Boy survive as you steer him through increasingly difficult levels?

★ Collect keys  to obtain new skins so you can play as a tree 🌳, chicken, and more wacky characters! 

★ Unlock hundreds of items in the Shop! Earn stars to unlock unique new accessories for personalizing your character, including a top hat 🎩, crown 👑, gloves 🧤, wand ✨, boots 🥾, and a whole bunch of other options. Arrr, matey, wouldn’t you like to see Pixel Boy dressed up like a pirate? 🏴‍☠️

★ The better your skills, the quicker you’ll save up enough pixels to unlock Mystery Boxes with special prizes. This running game takes time and concentration to master, but it pays off with big rewards!

★ Plenty of opportunities to nab extra stars. Run and jump your way through bonus levels with star multipliers. Get lucky in the Chest Game, and you just might hit the jackpot!

★ This 3D runner will keep you hooked with its awesome graphics and fun sound effects and music. 🎶

★ The optional vibration setting lets you FEEL the FUN!

<u>Don’t be a blockhead! 🤪 Download the Pixel Rush running game now and race through an obstacle course on a quest for survival!</u>

Privacy Policy: https://say.games/privacy-policy
Terms of Use: https://say.games/terms-of-use"
com.igoldtech.an.swiped,Swiped,,4.49,1693,241,967,2904,18397,"Awesome swipe action game with dozen plus interesting game modes explored thru paths across world map.

Play variety of addictive swipe puzzles set by aliens to stop you from helping tom reach his home.
Hundreds of interesting levels on routes interconnected and spread across continents all over the world.

* Why Swiped? * 
 - Swiped is a very simple to learn swipe action based game for people of all ages.
 - Each level is progressively challenging and very addictive.
 - Challenge your skills in dozens of game modes with unlimited levels.
 - Summon & Excite swipe powers by swiping  over them along with similar gem chains.
 - Compete with thousands of players around the world.

Make your route across continents by completing unique levels on the way.
You can choose the path of your favorite game type at every junction. 

You start from southern tip of South America and travel through paths by completing levels on them.
Levels on each path are of different kind and progressively challenging.

Play hundreds of levels of similar kind on docks scattered all over the map.

* How to Play *
 - Swipe over chain of matching three or more gems to clear them.
 - In each swipe action, Longer the chain of gems, higher the score you will get.
 - Summon special powers by swiping chain of ten or more gems.
 - Play with strategy to form and swipe longer chains.
 - Plan your strategy to tackle aliens disrupting your game.
 - Complete all levels in a path to open a new path with different kind of levels.

Variety of interesting game modes with individual missions like Classic, Reveal It, Catch the Flag, Stack gems, Word Mania, Gem Mania, 
Spider, Frozen Gems, Hidden gems, Snow Fall, Bring it Down, Reducing gems and Zombies.

* Swiped Legacy *
 - Play Swiped legacy game modes by tapping legacy button in main screen.
 - All features of original swiped are now available here.
 - Five legacy game modes supporting large boards in original style.

* Other Feeatures *
 - Spin lucky wheel daily to earn coins, lives and spin rewards.
 - Collect rewards while completing milestone levels on the map.
 - Game powers like Genie, Chest & Magic Wand to aide in challaneging levels.
 - Invite and ask friends for free coins.
 - Compete among your friends in private leaderboards.
 - Unlimited lives and Ad free gaming thru subscriptions."
com.hiroba.helix,Helix Stack Jump: Smash Ball,,4.255814,2599,2924,3898,4223,28395,"Play Helix Stack Jump now, and enjoy this addicting arcade style drop game! Hyper casual time killer game that you can play for 5 minutes or 5 hours - download now!

❗️Jumping ball awaits your command❗️ – blast, smash and bounce through helix platforms. Smash balls through colorful platforms that block your descent, but watch out - if you hit a black one it’s all over! Helix Stack Jump is easy to play, hard to master. Simple gameplay at first with hard challenges as you progress! Stack king legends are ready to be made.

Ball falling addicting game - smash and blast through the helix stack. Ball falling strategy lets you launch the ball at full speed and create a fireball to smash through even unbreakable black platforms!

Play offline, anywhere you go - this helix jump game is a great no wifi game. Fast ball game is exciting and addictive! Jump free and avoid the black to keep your ball falling all the way to the end. Block, fall down and crash through the helix platforms like no other game - it takes some serious skill to jump your ball to the end. 

💥Blast to the bottom💥! Simple One tap, easy-to-learn controls and amazing visual effects takes this casual game from awesome to epic!

Download today and find your fast ball groove!

🤩 Helix Stack Jump Features:

Casual Game
- One tap helix gameplay is easy to learn
- Addicting game, hard to master
- Jump game that is free to play
- Helix games are fun for all ages
- Hyper casual helix stack jump game

Addicting Games 💪
- Arcade game style jump helix game keeps you on your toes
- Stack hit strategy will get you to the end
- Smash ball through the helix tower

Play Offline
- No wifi games keep you entertained wherever you are
- Addicting game will hook you
- Play offline anywhere
- One tap and the helix game starts!
- Free games for fun

Download this relaxing jump game today and stay entertained for hours! Easy and simple to start, a hard blast to the finish – challenge yourself to play every level!

Read/write storage permissions is used for screenshots and cache user save files.

Privacy: https://kooapps.com/privacypolicy.php"
com.sled.surfers.game,Sled Surfers,,4.4141564,3824,2089,6788,10893,55020,"Dive into the ultimate winter adventure with Sled Surfers! Become a true snow rider as you slide through icy slopes, dodge obstacles, and race across a magical frost world filled with action. Glide on your sledge, surf the snow, and enjoy fast-paced challenges inspired by the fun, simple unpredictability.
Race through snowy trails, master tight turns, and unlock cool winter gear as you explore frozen forests, icy cliffs, and slippery downhill tracks. Whether you're chasing the thrill of a snow race or simply enjoying a relaxing winter glide, every run is packed with excitement.
And if you love the summer chaos of aqua park or waterpark slide games, you’ll enjoy the same smooth, addictive flow—just with a frosty twist!

❄️ Key features
🏂 Become the ultimate snow rider
 Surf the snow, control your sledge, and glide through slippery winter tracks
🔥 Fast & fun snow race gameplay
 Dash through frozen paths and dodge obstacles as the speed ramps up
🌨️ Explore a magical frost world
 Discover frozen forests, icy caves, and breathtaking winter landscapes
🎁 Unlock sleds, characters & gear
 Collect coins to upgrade your ride and customize your snowy adventure
⚡Power-Ups for a faster slide
 Boost your speed with backflips and front flips in the air
🎮 Smooth controls
 Easy to play, endlessly fun, and packed with surprising challenges.

🛷 Ready to surf the snow?
Grab your sledge, hit the snowy slopes, and start your winter adventure today! Whether you're here for the thrill, the challenge, or the cozy vibe of the frost world, Sled Surfers delivers endless snowy fun.

To opt out of CrazyLabs sales of personal information as a California resident, please visit the settings page within this app. For more information visit our privacy policy: https://crazylabs.com/app"
com.zeptolab.cats.google,CATS: Crash Arena Turbo Stars,,4.314366,259610,86255,140568,365062,1983017,"CATS: Crash Arena Turbo Stars - Unleash Chaos in the Battleground!

Gear up for an adrenaline-fueled, chaotic showdown in CATS: Crash Arena Turbo Stars! Craft your ultimate combat machine, assemble powerful weaponry, and dominate the fighting arena. Take on the role of a skilled engineer and unleash destruction in action-packed 1v1 combat.

Key Features:

🤖 Build and Battle:
Assemble your combat bot using an array of attachments and weaponry. From crushing crushers to rocket-launching rovers, design your ultimate fighting machine.

🚀 Destructive Weapons:
Arm yourself with an arsenal of weapons, including rockets, blades, and more. Demolish opponents and watch as the battlefield turns into a chaotic spectacle.

🔧 Engineering Excellence:
Show off your engineering prowess in the lab. Fine-tune your creation for optimal performance and outsmart opponents with strategic attachments.

🤯 Catastrophic Combats:
Engage in intense 1v1 battles in the arena. Dodge enemy attacks, unleash destructive powers, and fight your way to victory.

🚗 Turbo-Charged Vehicles:
Battle in turbo-charged cars equipped with powerful weaponry. Experience the thrill of high-speed combat as you dodge, destroy, and outmaneuver opponents.

💥 Bloody Clashes and Explosive Action:
Experience combat like never before with bloody clashes, explosive action, and thrilling duels. Dominate the arena and become the ultimate combat champion.

🌟 Multiplayer Mayhem:
Challenge players worldwide in real-time PvP combat. Assemble your bot, hit the battlefield, and climb the global ranks.

🏆 Competitive Ranking:
Showcase your combat skills and climb the competitive rankings. Prove yourself as the top engineer and combatant in the ultimate fighting championship.

🛠️ Customization Galore:
Customize your bot's appearance with unique chassis, attachments, and paint jobs. Stand out on the battlefield and strike fear into your opponents.

Download CATS now and unleash your destructive creativity in the ultimate robot combat arena!"
com.wanghang.carnival,Amusement Arcade 3D,,4.229927,1340,853,1279,2376,10846,"Amusement Arcade is #1 collection of 3D arcade games that you play at carnival funfair or amusement park!

For years, you've been going to the arcade, carnival, or theme park to play the classic arcade games. Now Amusement Arcade brings the most authentic arcade experience onto your phone! It’s time to catapult your way to a mountain of prizes, ticket tokens and achievements!

Game Features:
- Aim and roll the up the ramp and into one of the numbered holes in skee ball style game
- Beat the buzzer by sink as many baskets as you can in basketball shooting game
- Push shiny gold coins and exciting prizes into your hands in the coin pusher machine
- Control the claw to grab gems, dolls, stuffed animals in claw crane machine
- Slide the frog flying towards lily pads and land them in the lilies in frog toss game
- Throw darts at the flying balloons and hit as many as you can in balloon shooting game
- Shoot fun and fast moving ducks in shooting gallery and play with squirrel in going nuts game"
com.fancyforce.happywheels,Happy Wheels,,4.3436694,32917,9617,19841,41239,264366,"Happy Wheels is a side-scrolling, physics-based, obstacle course game with over a billion plays online and is now available for your mobile devices. Assume the role of your inadequately prepared racer and ignore severe consequences in a desperate search for victory.

Now play as Effective Shopper on an electric shopping cart, Wheelchair Guy on a jet-powered wheelchair, Irresponsible Dad and his son on a bicycle, or as Business Guy on a personal transporter.

Features:
• Over 60 unique and challenging levels
• Deadly obstacles: spikes, mines, wrecking balls, harpoons, and much more
• Smooth, realistic physics"
com.gym.racegame,Epic Race 3D – Parkour Game,,4.5524335,26599,13294,25498,64217,454789,"Welcome to the captivating and electrifying universe of Epic Race 3D, your ultimate playground where agility, speed, and strategy take center stage! Feel the adrenaline rush as you compete in an exhilarating race against three fierce rivals, all equally determined to secure the top spot before anyone else. The finish line is calling. Are you ready to rise to the challenge and join the race today?

Epic Race 3D is more than just a racing game. It's an immersive test of survival, speed, and sharp wits. The track is far from ordinary: brimming with countless obstacles that require split-second decision-making and razor-sharp reflexes. Stumble, and you might find yourself at the end of the line. But fear not, your key to victory isn't just sheer speed but the perfect timing and strategy. Navigate the treacherous path with a tap of your finger: hold to sprint, release to halt, and outmaneuver your opponents while dodging obstacles and leaping over hurdles to secure your claim to victory!

The game features numerous unique tracks, each offering a new challenge to conquer. No two races are the same: each course provides a different set of challenges, and each opponent brings a unique dynamic. With each progressing round, the stakes soar higher, the speed intensifies, and the competition gets fierce as the competitors are eliminated one by one, culminating in an electrifying final showdown between the last two racers.

Don't just watch from the sidelines: immerse yourself in the heart of the action. Plunge into the world of Epic Race 3D and become a part of the most unpredictable and dynamically challenging racing game available on Google Play. In this world of high-stakes racing, one misstep can dramatically alter the course of the game. Do you have enough courage, skill, and strategy to claim the number one spot? Show us what you've got! Ignite your journey in Epic Race 3D today!"
