App_ID,Title,Installs,Rating,1_star,2_star,3_star,4_star,5_star,Description
com.i6.AirplaneRCSimulator3d,Flight Simulator: RC Plane 3D,,3.67,12095,3672,3151,4202,29444,"Flight Simulator: RC Plane 3D is the most fun RC or Plane Simulator you will get to play here. Start off on the easy levels, learning how to fly your small airplane, after which you get to land it. Once your past these few learning levels, that where it gets exciting, you get to fly the plane through small gaps and obstacles.

You only have a set amount of battery life to get the plane through all the hoops and through to the landing spot."
com.geckorush.escape,Gecko Rush,,4.6761904,26,52,172,350,2488,"🦎 Gecko Rush – Slide, Match & Escape!

Welcome to Gecko Rush, the most relaxing yet thrilling puzzle adventure!
Your mission: guide adorable geckos through twisty paths, avoid collisions, and help them reach their color-matching holes!
It’s simple to play, but mastering every move takes true skill and focus.

🎮 HOW TO PLAY:
1️⃣ Tap & Drag – Slide each gecko from its head or tail.
2️⃣ Avoid Collisions – Don’t let the geckos bump into walls or each other!
3️⃣ Match Colors – Guide every gecko to the hole with the same color.
4️⃣ Escape the Grid – Complete the level and move on to tougher challenges.

🌟 FEATURES:
Addictive & Satisfying Gameplay – Easy to pick up, hard to put down.
Charming Visuals & Smooth Animations – Watch your geckos glide gracefully.
Brain-Teasing Levels – From chill to challenging, hundreds of handcrafted puzzles await.
Time Trials & Bonus Rewards – For players who love speed and precision.
Relaxing Soundtrack – Play, unwind, and let the stress melt away.

Are you ready to test your mind and reflexes?
Every move matters — think ahead, slide smart, and escape the maze!

👉 Download Gecko Rush now and start your puzzle-sliding adventure today!"
rush.arena.td,Rush Arena: PvP Tower Defense,,4.048035,2588,748,1504,2588,11716,"Clash against enemy forces, defend your castle and come up with a victorious strategy! Rush Arena is here!

Rush Arena is a new Tower Defense game set in the world of famous Rush Royale! You’re back on the Isle of Rhandum… but it’s not the same! The TD mechanics are completely new – easy to learn, exciting to master!

Conquer the PvP arena! Enemy defenses are strong… But you will win these TD games! The battle goes over land and air!

Assemble a collection of units and use them to summon might warriors on the field! Merge and combine to make your army unstoppable and win at Tower Defense!

Complete quests to gain powerful bonuses and unlock new warriors for TD games!

Clash, merge, win! This brand new TD arena is yours!

Follow us on Facebook:
https://www.facebook.com/RushArena/

Join our Discord:
https://discord.gg/c5STFwzJxC

PLEASE NOTE! Rush Arena is free to download and play, however, some game items can also be purchased for real money. In-App purchases may include random items.
Contains ads.

Brought to you by MY.GAMES
© 2026 MY.GAMES B.V. Published by KEYSTORM HOLDINGS LTD. All rights reserved. All trademarks are the property of their respective owners."
com.flightaware.android.liveFlightTracker,FlightAware Flight Tracker,,3.75,8478,4239,2825,4239,25435,"Free, live flight tracker and flight status app from FlightAware for Android!

This app allows you to track the real-time flight status and see the live map flight track of any commercial flight worldwide and general aviation (private, charter, etc) in the United States and Canada.

Track by aircraft registration, route, airline, flight number, city pair, or airport code. Tracking data includes complete flight details and full-screen maps with NEXRAD radar overlay.

Receive real-time push notification flight alerts, view airport delays, see nearby flights (in the sky overhead), and more!

Permission to access your Contacts is used only when you choose to create a flight alert to be sent to another person. We do not store or transmit your contacts list in any other way.

Please send your feedback to support-android@flightaware.com

Note: Android version 9 or higher is required."
com.panosDrak.FlightSimFree,Flight Simulator Advanced,,3.54,2937,1009,1143,1524,6166,"** Note: HIGH-END smartphone required **

• Feel what it's like flying inside the cockpit of a real aircraft.
• Interact with cockpit buttons, switches and levers.
• Push-back, taxi to runway, take-off, fly, land.

MIMIMUM REQUIREMENTS:
------------------------
* 8GB RAM
* 1,5GB Storage
* Stable Internet connection for terrain loading during flight

Main Features
---------------------
• Many aircrafts, including A320, A321, B737, B737 Max A330, A340, A380, A350, B777, B747, Β787 with a lot of liveries and authentic cockpits.
• Realistic physics/aerodynamics
• Ground controls (steering, brakes, pushback)
• Flight controls (roll, pitch, rudder) - [on-screen joystick / tilt phone].
• Autopilot (altitude, speed and heading hold)
• Flight planning system with waypoints and navigation
• Day/night cycle
• Weather modes and precipitation
• Airport ground services, movable jetways etc.


Cockpit interactions
----------------------
• Start/shut down engines
• Control thrust amount
• Flaps
• Pushback
• Landing gear
• Autopilot (speed, heading & altitude hold)


Graphics 
----------------------
• Authentic cockpits
• Realistic airport environment (buildings, taxiways, parking area with jetways, runways)
• Realistic terrain with satellite imagery and elevation
• Animated flaps/spoilers/ailerons/gear
• Volumetric clouds
• High definition world airports


Realistic sound effects 
-----------------------
• ATC chatter
• Engine sound effects (spool up, reverse thrust, idle)
• Other sound effects
• GPWS callouts (during landing)


Cameras
----------------------
• Cockpit 
• External
• Tower view
• Wing views
• Camera shake effects"
com.ilyon.cuberush,Cube Rush Adventure,,4.5690475,969,516,1389,3489,20789,"Join the super FUN cube blasting adventure! 
 
Play for FREE and enjoy an awesome matching game with unique gameplay and addicting quests! Jump into a new amazing adventure and have a relaxing time tapping and popping all the toon blocks. 
 
Match and crush 2 or more adjacent cubes of the same color to explode and clear the board. Download today this super fun toy game and enjoy thousands of puzzle levels filled with color, toys, and cool boosters. Test your matching skills as you blast and pop blocks and make special combos to unlock amazing rewards. 
 
Enter the crazy cube blasting world and enjoy this amazing toy game for free. Don’t worry about Wi-Fi or internet connection as you can play this fun toy blaster game online or offline!

HOW TO PLAY:
- Tap and collapse the colorful toon bricks
- Collect the cubes to get gifts and boosts
- Complete the goals set at the beginning of each level
- Plan your moves and crash your way through the challenges 
- Clear the board and collect toys to win  
- Create major blasts to unlock powerful boosters 

CUBE RUSH FEATURES:
- Awesome blast game with endless fun and cool challenges
- Thousands of addictive levels to solve! Don’t get too comfortable as plenty of brain-training challenges are waiting to be solved!
- Easy and fun to play cube rush game 
- Powerful boosters that will help you clear levels 
- Play online or offline anytime - you don’t have to worry about Wi-Fi or internet connection 
- Brilliant settings. Stunning graphics and effects
- Free to play blaster game that will keep you hooked for hours! 

ENJOY A FUN MATCH GAME!
With limited moves in every level, it’s all up to your thumbs - make smart moves to blast more colored blocks and reach the level target. Download this awesome toy game and start blasting all the colorful cubes today!

* Get amazing boosters that will help you crush the cubes and win levels in this fun toy blaster:
Match, burst and explode 5 or 6 tiles to get a rocket
Match, pop, and smash 7 or 8 toon blocks to get a bomb
Match, crush and pop 9 cubes to earn a color wheel
Combine boosts to get bigger effects so that you can solve the best match game in no time!

Get ready to train your brain with thousands of blasting levels filled with cool challenges and brain teasers. Play Cube Rush Adventure now for free, sharpen your logic skills and train your brain solving addicting puzzles!

Cube Rush Adventure is way too cool for the play store!"
com.wordsmobile.planesimulator,Plane Simulator 3D,,3.614525,71414,17210,20492,28713,155957,"Ever wanted to be a pilot and fly a real plane? Plane Simulator offers you the most realistic flying experience with 3D graphics and animations!

Start the engine, unleash your inner courage, and feels the power of realistic planes while flying through various stunning locations. Plane Simulator lets you explore the world of flying in a quality never seen before. The game features massive highly detailed planes with ultra realistic physics. Take your seat in the cockpit and conquer the sky now!

Game Features:
- 24+ real-life planes including supersonic jets and military aircrafts
- 10+ mission types from pilot training to master class
- Realistic flight physics and 3D graphics"
co.spiritbomb.skychamp,Sky Champ: Space Shooter,,4.5148697,2346,2053,4986,12759,56758,"🌟Warning 🌟 
The evil creature Tyragon has been unleashed by the malevolent corporation Galaxy Shooter, putting the world in danger!! 

As the Earth's last hope, take command of a spacecraft in fantasy animal form to shield the planet from waves of alien invaders.

🌟Gameplay Instructions 🌟 
Sky Champ: Space Shooter - Galaxy Attack is an offline RPG game of the Bulletstorm genre, offering a mix of Space Shooter, Galaxy Shooter, Alien Shooter, and Galaxy Attack elements. 

The gameplay is easy to play but hard to master: Control the spaceship to eliminate all the alien invaders and villainous creatures. Your spaceship takes the form of powerful fantasy creatures called Okimon. 

🌟Features Highlights 🌟
Sky Champ: Space Shooter is a perfect mix of classic space shooter games in a magical fantasy world. Made by the team that created many award-winning galaxy attack games. 

This offline galaxy attack shooting game will bring you endless hours of excitement with these features:
- Progression System: Gather rare items to upgrade your spaceship and acquire new Okimon to evolve it into the ultimate form with extraordinary abilities.
- Over 100 Stages in Adventure Mode: Test your skills in progressively challenging stages and aspire to become the most skilled Space Shooter.
- Diverse Pets and Monsters: Capture and equip over 90 pets and monsters with various evolution forms.
- In-game Power Buffs: Utilize up to 5 Power Ups to survive arduous space and galaxy shooter stages.
- Extensive Equipment Selection: Access a collection of over 50 unique items for your pets and monsters.
- In-game systems: Battle Pass system with lots of rewards.
- Sky Champ is a classic game but with a modern design. Unlike other Galaxy Space Shooter or Galaxy Attack games, Sky Champ has many nice airship and starship designs in the form of many fantasy animals to choose from.
- Competitive Gameplay: Engage in battles via the League game mode, and track your ranking on the Worlds Billboard.
- Offline and Online Play: Enjoy the game offline or online, with the added benefit of receiving more rewards while playing online.

If you're a fan of offline games such as Space Shooter, Galaxy Shooter, or Galaxy Attack, Sky Champ: Galaxy Space Shooter is tailored for you. 
Connect with us on Facebook @skychampgame or join our community, Sky Champ Group, for more updates and interaction"
com.geofs.sr,GeoFS - Flight Simulator,,4.27,156,47,109,235,1190,"GeoFS is a multiplayer flight simulator displaying a global scenery from satellite images. Whether you are a licensed pilot practicing VFR, an aviation enthusiast or just looking for some fun flying in beautiful landscapes, you can enjoy any of the 30 available aircraft, ranging from paraglider to airliners, absolutely anywhere in the world..

This app includes:

- Worldwide 1m/pixel Super Resolution imagery - AI enhanced satellite images
- Worldwide (10m resolution) satellite images and elevation model
- Realistic physics and flight models
- Global multiplayer
- Navigation charts with 40,000 referenced runways
- Radio Navigation (GPS, ADF, VOR, NDB, DME)
- 30+ different aircraft with instrumented cockpits
- ADS-B real-life commercial traffic
- Replay mode
- Seasons, day/night and real-time weather conditions from METAR (wind, clouds, fog, precipitations)

Included aircraft:
- Piper J3 Cub
- Cessna 172
- Dassault Breguet / Dornier Alpha Jet
- Boeing 737-700
- Embraer Phenom 100
- de Havilland DHC-6 Twin Otter
- F-16 Fighting Falcon
- Pitts Special S1
- Eurocopter EC135
- Airbus A380
- Alisport Silent 2 Electro (Motor Glider)
- Pilatus PC-7
- de Havilland DHC-2 Beaver
- Colomban MC-15 Cri-cri
- Lockheed P-38 Lightning F-5B
- Douglas DC-3
- Sukhoi Su-35
- Concorde
- Piper PA-28 161 Warrior II
- Airbus A350
- Boeing 777-300ER
- Boeing F/A-18F Super Hornet
- Beechcraft Baron B55
- Potez 25
- Major Tom (Hot Air Balloon)
- And more...

An internet connection is necessary to run GeoFS."
com.my.defense,Rush Royale: Tower Defense TD,,4.2565584,79406,19547,32880,124329,505706,"Step into the mystical world of Rush Royale, where Tower Defense reigns supreme in this strategy game genre! The Isle of Rhandum is a land of magic, mayhem, and strategic battles. Assemble a deck of powerful defense units and prepare for an epic TD game clash that will test your wits and tactical prowess.

In Rush Royale, you'll command a vast array of cute but fearsome units, each with unique abilities and strengths. From keen-eyed Archers and crafty Trappers to angry Bruisers and graceful Blade Dancers, you'll need to carefully merge your units and manage your mana to create a winning battle strategy for castle defense.

But Rush Royale isn't just about base defense—it's also a fierce Arena Battle against other players! Break through enemy Tower Defense, progress, and earn valuable trophies as you clash with the most powerful players in real-time PvP. But beware, fortune can be fickle in TD games! To win, you'll need to stick to a strategy game approach and use your cunning and intellect to lay siege to enemy castles and break through their defenses.

For those seeking a more cooperative Tower Defense experience, Rush Royale offers a thrilling Co-Op mode. Embark on a TD quest to explore the Isle of Rhandum with your friends, facing off against dreadful bosses and their minions in kingdom castle defense battles. There's no better way to bond with your friends than battling monsters together! Succeed in Tower Defense games and earn unique loot, while also readying your defenses and protecting the castle.

With many factions to choose from, including the Technogenic Society and the Kingdom of Light, every unit and hero in Rush Royale belongs to one of them. There are no “weak” or “strong” decks—collect, merge, and learn to play your army well, and level up the units you use most. Some of them can Ascend, gaining unique battle talents that will give you an edge in castle defense.

To keep things fresh and exciting, Rush Royale offers a variety of events that bring even more variety to the base defense you're used to. Try them out and see if you can master unique rules and beat the enemies in tower defense games! Join one of the clans in Rush Royale to earn unique benefits and fight as one with your clanmates to succeed in both Co-Op and PvP Tower Defense battles. Complete quests to earn valuable rewards and make your life easier and more interesting.

In Rush Royale, it's all about clashing, conquering, winning, and prevailing. This TD game is like no other, and the Isle of Rhandum awaits your arrival. Whether you prefer Card Battle strategies, mastering Deck Building techniques, or leading Epic Battles in a Fantasy Game setting, there’s something for everyone. Choose your Card Strategy Game tactics, dominate the Clash Arena, and prepare for a Tower Battle unlike any other. So, what are you waiting for? Join the battle now and dominate the Tower Defense arena in this multiplayer strategy masterpiece!

Follow us on Facebook:
https://www.facebook.com/RushRoyale.game

Join our Discord:
https://discord.com/invite/SQJjwZPMND

In-App purchases may include random items.

Brought to you by MYGAMES MENA FZ LLC
© 2025 Published by MYGAMES MENA FZ LLC. All rights reserved. All trademarks are the property of their respective owners."
