App_ID,Title,Installs,Rating,Total_Reviews,Pros_Keywords,Cons_Keywords,Categorized_Pros,Categorized_Cons
com.concretesoftware.idlegamearcade,My Arcade Empire - Idle Tycoon,,4.4540815,3289,"1. The arcade game is so good. 2. It's fun to learn. 3, and the game is fun to play. 4, the game is",1. In the story of the story I've gotten super high level cards and I got 2 stars and got a 3 star level. I don't understand why,fun gameplay,repetitive
com.paurau.SlowMoRun,Slow Mo Run,,4.1785564,381828,1. It's a great experience for finding new characters (and lots of them) with the help of the music. 2. There's a lot of fun,"1. No way to play with my friends. 2. No way to play with friends. 3. No way to play with friends.
There are a",good music,"bugs and glitches, repetitive"
com.ballzy.game,Pixel Rush - Obstacle Course,,4.289634,36255,1. Beautiful graphics and a great character. 2. Well written story and a cool story is all it's really needed. 3. Beautiful art style. 4,"1. It's just a simple game. 2. It's not that bad.
5 Stars for the first time. So what can I say? This",good story,boring
com.igoldtech.an.swiped,Swiped,,4.49,24202,"1. the game is perfect and always does well It is fast the game is awesome, fun and has a lot of fun
Overall: 9/10","1. You can't save to the main menu.
2. You have to open the game to find the ""Save"" button.
3. You","customization options, fun gameplay",bugs and glitches
com.hiroba.helix,Helix Stack Jump: Smash Ball,,4.255814,42039,1. Easy to master by playing the game and then you can play it offline. 2. Great for playing games that require you to understand your game. 3,1. the game does not have a ton of features. 2. the game is very buggy. 3. the game is too much like some other games that,offline play,bugs and glitches
com.sled.surfers.game,Sled Surfers,,4.4141564,78614,1. The penguin is cute and the penguin is adorable. 2. The game is well balanced and easy to learn. 3. The penguin is,1. It doesn't let you choose your ship. 2. You have to start from scratch and don't have any ships. 3. You can't start,easy to learn,bad controls
com.zeptolab.cats.google,CATS: Crash Arena Turbo Stars,,4.314366,2834512,"1. The game is fun & easy to learn. The learning curve is easy, just copy designs that beat you. I like customization built into the game.","1. The ad is absolutely terrible. 2. There is no mention of your character name, so you are always referred to as Mr. Robo and you always",fun gameplay,repetitive
com.wanghang.carnival,Amusement Arcade 3D,,4.229927,16694,"1. It is very easy to get a prize. 2. It has a nice touch to it.

The one thing I really hate about this game","1. The app is not very accurate on the iPhone, 2. It is not very easy to navigate the menu, 3. The game is just very easy","customization options, easy to learn",bad controls
com.fancyforce.happywheels,Happy Wheels,,4.3436694,367980,"1. The game is extremely well done 2. The game is challenging, the puzzles are fun, you can win and lose, the game is very easy and",1. I was unable to connect to my phone when playing the game. 2. I was unable to use the app to access my phone when playing the game,fun gameplay,connection issues
com.gym.racegame,Epic Race 3D – Parkour Game,,4.5524335,584397,1. The game is really easy to play. 2. You have to try different ways to play it. 3. The story is a good one. 4,1. The game ends in a draw. 2. The game continues to move forward but the game ends with a draw. 3. The game doesn't end,fun gameplay,repetitive
com.os.space.force.galaxy.alien,Galaxiga: Galaxy Arcade Game,,4.737217,443605,1. All the controls are intuitive and easy to use. 2. The game is fun and addictive. 3. The art style is good and the music is,"1. no ads, 2. no in-app purchase, 3. no in-game purchasing, 4. no in-app upgrade, 5. no",smooth controls,lacks content
com.gameloft.android.ANMP.GloftDMHM,Minion Rush: Running Game,,4.4221897,10529597,"1. It can take a lot of time to complete it in 2. It was a fun game, but you really needed to do it on your own time","1. There is a lot to do, and very little to do is done. 2. The game is poorly designed. 3. There is very little to",fun gameplay,lacks content
